Physics of Fluids; Phys. Fluids
Physics of fluids; Phys. Fluids
International Journal of Heat and Fluid Flow; Int. J. Heat Fluid Flow
Experimental Heat Transfer; Exp. Heat Transf.
Moscow University Mechanics Bulletin; Mosc. Univ. Mech. Bull.
European Journal of Mechanics-B/Fluids; Eur. J. Mech. B Fluids
Journal of Fluid Mechanics; J. Fluid Mech.
Ocean Engineering; Ocean Eng.
Journal of Fluids and Structures; J. Fluids Struct.
Journal of fluids and structures; J. Fluids Struct.
Journal of Applied Fluid Mechanics; J. Appl. Fluid Mech.
International journal for numerical methods in fluids; Int. J. Numer. Methods Fluids
International Journal for Numerical Methods in Fluids; Int. J. Numer. Methods Fluids
Journal of fluids engineering; J. Fluids Eng.
Journal of Fluids Engineering; J. Fluids Eng.
Journal of Central South University; J. Cent. South Univ.
Experiments in Fluids; Exp. Fluids
Proceedings of the Institution of Mechanical Engineers, Part M: Journal of Engineering for the Maritime Environment; Proc. Inst. Mech. Eng. M: J. Eng. Marit. Environ.
Fluid Dynamics Research; Fluid Dyn. Res.
Bulletin of JSME; Bull. JSME
Experimental Thermal and Fluid Science; Exp. Therm. Fluid Sci.
Experimental thermal and fluid science; Exp. Therm. Fluid Sci.
International Journal of Heat and Mass Transfer; Int. J. Heat Mass Transf.
Applied Ocean Research; Appl. Ocean Res.
Journal of Wind Engineering and Industrial Aerodynamics; J. Wind Eng. Ind. Aerodyn.
Journal of Thermal Engineering; J. Therm. Eng.
International Journal of Mechanical and Mechatronics Engineering; Int. J. Mech. Mechatron. Eng.
Journal of heat transfer; J. Heat Transf.
Heat and mass transfer; Heat Mass Transf.
Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science; Proc. Inst. Mech. Eng. C: J. Mech. Eng. Sci.
International Journal of Thermal Sciences; Int. J. Therm. Sci.
Physica A: Statistical Mechanics and its Applications; Phys. A: Stat. Mech. Appl.
Journal of Computational Physics; J. Comput. Phys.
Journal of Non-Newtonian Fluid Mechanics; J. Non-Newton. Fluid Mech.
Journal of non-newtonian fluid mechanics; J. Non-Newton. Fluid Mech.
Computers \& Fluids; Comput. Fluids
International Journal of Structural Stability and Dynamics; Int. J. Struct. Stab. Dyn.
International Journal of Heat and Fluid Flow; Int. J. Heat Fluid Flow
International Journal of Numerical Methods for Heat \& Fluid Flow; Int. J. Numer. Methods Heat Fluid Flow
Composites Part B: Engineering; Compos. B: Eng.
Physical Review Letters; Phys. Rev. Lett.
Progress in Aerospace Sciences; Prog. Aerosp. Sci.
Journal of Engineering and Technological Sciences; J. Eng. Technol. Sci.
Science Advances; Sci. adv.
Journal of Aircraft; J. Aircr.
Comptes Rendus Physique; C. R. Phys.
Physical Review Fluids; Phys. Rev. Fluids
Annual review of fluid mechanics; Annu. Rev. Fluid Mech.
Physical review; Phys. Rev.
Progress in Aerospace Sciences; Prog. Aerosp. Sci.
Physical review E; Phys. Rev. E
Journal de Physique II; J. Phys. II France
Physica D: Nonlinear Phenomena; Physica D
Journal of fluid mechanics; J. Fluid Mech
